,ABCB1,ABCC1,ABCC10,ABCC3,ABCC4,ABCC5,BCL2L1,CASP3,ERCC1,ERCC2,FASLG,GGH,GSTM3,GSTP1,MSH2,MTHFR,RALBP1,SLC19A1,SLC22A1,SOD1,TOP2A,label,cohort
GSM2331351,7.258762991328548,8.156194625123897,8.87072149825644,7.664119208931759,7.693019645752401,8.697318342325072,8.54143948539767,8.790282063449935,8.745302389255896,7.944396848707542,5.398447814136804,9.499578973328235,8.550648184672228,12.484059050211204,7.624756137034479,7.339211915322776,8.825652377206897,7.417819882444792,4.5610943682633405,12.425415348490189,10.114631280476711,1,GSE87437
GSM2331352,5.854706925260503,8.75152707089081,7.986755897738857,7.2460390666727665,7.7031371417144205,8.604529726877248,8.255543482035824,9.217528789487185,8.507792498149323,8.232826701040981,6.058722294798218,10.434336783361278,8.223253229485126,13.016851413985307,8.771714089996825,7.253327963361658,8.978182454467808,7.654055529408562,6.644378041882253,12.3304542132056,10.826035285145888,1,GSE87437
GSM2331353,7.057991833736107,9.029021453149012,8.792647751961924,7.772368148801394,8.038203151043108,8.751522556444575,8.598305171821941,8.387811851310628,8.922523263750296,8.251478587751338,6.7735819503066015,8.70529556733764,7.1598728062394645,12.123025938342806,7.374753831866722,7.585511613447132,8.781023217642298,7.494172258147028,8.15024753164324,12.496883443400536,9.043634890249944,0,GSE87437
GSM2331354,5.639765895509311,7.680686197982987,9.112804081255756,6.7710796026703655,7.89690036510672,8.277790444525106,8.37630913915453,9.123148414025422,8.990679041697557,8.27263870226857,5.0035057033080665,10.152367100093196,8.23502280846427,12.914048799298152,8.13595558168786,7.117699314547304,8.582588038150393,7.487849687493802,7.051723365645872,13.359175061509765,10.66746065188998,0,GSE87437
GSM825626,6.75916830973737,8.019373543272215,7.84810723826829,7.233907906605021,7.4947391117346704,7.899591821026576,8.386341286409062,8.789317351663827,8.83983833930847,9.009134053839864,6.0451132972713095,9.81861408514198,9.156992786519004,12.218576981209262,8.01523787308807,7.87168494826622,8.780566278823189,7.381132761197995,6.563761333527622,13.62626052824887,10.424682512317284,0,GSE33382
GSM825627,6.759400752490541,8.0179215662971,8.443924283108048,7.633324654641616,7.835322828696151,7.86958263190146,8.772655847295905,8.57560407052576,8.777237937261225,8.338551215880944,6.225545079390335,10.556279222843523,7.672756458674375,12.191732521446562,8.113034480536735,7.3543333009295555,8.638383452126078,7.7132370129158545,6.536672814654201,13.382543591217036,9.735280046664478,1,GSE33382
GSM825628,6.65359096340288,8.016352172922637,8.520201140058724,7.545489758701765,7.248737583041425,7.757643461189152,8.63204305827294,8.617979582767704,8.538869490323897,8.376245358656439,6.049488650288556,9.405820633457164,8.531158101862237,12.457208463201283,8.015817957931453,7.116191721677847,8.885592228419185,7.400475737691926,6.53487583982078,12.735956467567318,10.17011474323921,1,GSE33382
GSM825629,6.773469412178953,7.959973726478408,8.35314672150587,7.291949614238385,7.941397507458545,8.820920756002746,8.56383294965166,9.333582440263106,8.651451543690257,8.094025622361867,6.110899737217403,10.217161509598206,8.052778420318013,11.626357619821023,8.255446604012928,7.244706264417411,8.580166238784274,7.316334482246955,6.552872086604196,12.88979309233946,10.320301724299174,1,GSE33382
GSM825630,6.6585739532309125,7.894864882278352,7.942701794091895,7.210123433844185,7.531673214825991,8.692465173273353,8.43227066921554,8.857717634330221,8.288707691428067,7.6611275335325155,6.02747677193768,11.550208097248571,8.010753418678563,11.836061211758537,8.596354798865633,7.281912674125484,8.551977514705998,7.8917960024913185,6.653877457277581,12.959684916152586,11.099049780102026,1,GSE33382
GSM825631,7.530051325565295,8.0613914623398,8.082163696844603,7.322714599608706,8.815787009284891,8.057796068563963,8.204765594008517,8.725532151581092,9.0815449652091,8.202393144853264,6.110385406465553,10.943537257595912,8.476914538666183,12.48543782697999,8.034949187808119,7.425787219703428,9.526278910059649,8.043837949192255,6.566338365934576,13.233079407381044,11.089006797702064,0,GSE33382
